City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,san antonio de pale,-1.4014,5.6325,22.93,91,90,4.74,GQ,1690398153
290,al qusiyah,27.4402,30.8184,37.15,15,78,4.98,EG,1690398200
291,vorgashor,67.5833,63.95,15.05,77,100,3.01,RU,1690398066
292,tindouf,27.6711,-8.1474,41.25,11,0,9.26,DZ,1690398201
293,tarakan,3.3,117.6333,26.25,84,100,4.6,ID,1690398206
294,hamm,51.6803,7.8209,19.21,83,74,2.45,DE,1690398206
295,margate,51.3813,1.3862,17.05,74,100,2.68,GB,1690398199
296,east end,34.5507,-92.341,35.96,30,29,4.38,US,1690398206
297,eenhana,-17.4667,16.3333,18.59,22,0,2.98,NA,1690398206
298,port alfred,-33.5906,26.891,18.04,67,100,6.24,ZA,1690398207
299,nha trang,12.25,109.1833,27.0,85,93,2.76,VN,1690398207
300,baiti,13.745,-14.7482,31.9,60,82,3.02,SN,1690398207
301,novhorodka,48.3651,32.6578,23.76,47,44,4.53,UA,1690398207
302,vadso,70.0744,29.7487,10.49,93,100,2.57,NO,1690398207
303,hotan,37.0997,79.9269,28.26,28,3,2.45,CN,1690398207
304,tuy hoa,13.0833,109.3,26.64,80,100,5.76,VN,1690398208
305,touros,-5.1989,-35.4608,27.71,67,23,7.92,BR,1690398000
306,ploneour-lanvern,47.9,-4.2833,17.18,94,100,4.12,FR,1690398208
307,argo,37.6333,22.7333,31.55,30,9,2.15,GR,1690398208
308,hamilton,39.1834,-84.5333,34.78,60,20,6.69,US,1690398208
309,weno,7.4515,151.8468,27.93,72,95,1.23,FM,1690398208
310,acapulco de juarez,16.8634,-99.8901,33.19,55,20,4.71,MX,1690397725
311,tambacounda,13.7539,-13.7586,35.03,55,75,4.12,SN,1690398209
312,chibougamau,49.9168,-74.3659,21.79,73,75,5.33,CA,1690398209
313,goundam,16.4145,-3.6708,39.19,24,100,1.31,ML,1690398209
314,vera,-29.4593,-60.2126,20.24,41,5,5.71,AR,1690398209
315,utrik,11.2278,169.8474,27.9,82,100,7.66,MH,1690398209
316,puerto deseado,-47.7503,-65.8938,3.62,62,6,7.63,AR,1690398210
317,ketchikan,55.3422,-131.6461,17.42,75,60,0.74,US,1690398210
318,sao joao da barra,-21.6403,-41.0511,25.05,75,11,7.27,BR,1690397966
319,hengyang,26.8881,112.615,26.51,89,96,2.21,CN,1690398210
320,happy valley-goose bay,53.3168,-60.3315,26.17,41,40,5.14,CA,1690398210
321,zhigalovo,54.8097,105.1578,13.52,96,76,1.61,RU,1690398210
322,callao,-12.0667,-77.15,21.16,68,100,3.09,PE,1690397925
323,saint-pierre,-21.3393,55.4781,20.82,88,100,2.06,RE,1690398210
324,tralee,52.2704,-9.7026,18.14,94,100,8.23,IE,1690398210
325,mundri,-6.9558,111.71,22.27,76,30,4.81,ID,1690398210
326,hlusk,52.903,28.6845,16.34,89,100,2.28,BY,1690398211
327,challapata,-18.9,-66.7667,11.28,13,0,3.2,BO,1690398211
328,kunshan,31.3776,120.9543,27.94,84,65,3.5,CN,1690398211
329,kegen,43.0197,79.2203,16.88,43,94,2.53,KZ,1690398211
330,nabire,-3.3667,135.4833,24.11,92,93,2.07,ID,1690397791
331,zhezqazghan,47.7833,67.7667,27.03,41,100,9.16,KZ,1690398211
332,cannonvale,-20.2833,148.7,18.66,72,98,9.82,AU,1690398211
333,zheleznogorsk-ilimskiy,56.5768,104.1217,14.41,94,100,1.28,RU,1690398212
334,ancud,-41.8697,-73.8203,9.59,73,100,3.66,CL,1690398048
335,lukolela,-1.0605,17.1821,25.77,56,100,1.37,CD,1690398212
336,palangkaraya,-2.2,113.8333,21.93,96,100,1.38,ID,1690398212
337,anaconda,46.1285,-112.9423,25.75,27,14,6.34,US,1690398126
338,gagarawa,12.4074,9.5277,33.33,36,96,2.12,NG,1690398212
339,panagyurishte,42.5,24.1833,26.89,78,82,5.37,BG,1690398213
340,carbonear,47.7332,-53.2148,29.91,55,61,4.87,CA,1690398187
341,northam,51.0333,-4.2167,17.59,97,100,10.52,GB,1690398213
342,sandakan,5.8402,118.1179,26.82,94,20,1.03,MY,1690398154
343,khandyga,62.6667,135.6,13.97,60,0,3.93,RU,1690397758
344,zapala,-38.8992,-70.0544,6.77,44,100,2.57,AR,1690398213
345,as sulayyil,20.4607,45.5779,37.14,8,9,3.38,SA,1690398164
346,luderitz,-26.6481,15.1594,13.74,69,0,5.45,NA,1690398214
347,goure,13.9835,10.2704,29.55,49,94,6.52,NE,1690398214
348,kristiansund,63.1115,7.732,17.36,82,75,1.54,NO,1690398214
349,isangel,-19.55,169.2667,20.4,72,87,7.66,VU,1690398215
350,sydney,-33.8679,151.2073,10.77,82,0,3.09,AU,1690397671
351,tyuratam,45.6507,63.3156,29.11,40,100,6.57,KZ,1690398215
352,uturoa,-16.7333,-151.4333,25.6,85,40,4.29,PF,1690398215
353,el calafate,-50.3408,-72.2768,-1.8,76,44,0.16,AR,1690397729
354,nguigmi,14.2495,13.1092,32.37,47,99,2.75,NE,1690397750
355,oamaru,-45.0784,170.9801,4.1,89,89,4.62,NZ,1690398216
356,spassk-dal'niy,44.5978,132.8211,21.31,92,95,2.1,RU,1690398216
357,rome,34.257,-85.1647,35.21,52,0,3.09,US,1690397934
358,gisborne,-38.6533,178.0042,4.23,79,71,3.54,NZ,1690398216
359,poronaysk,49.2167,143.1167,15.35,99,74,1.23,RU,1690397720
360,villa del totoral,-30.8167,-63.7167,19.02,28,62,4.34,AR,1690398217
361,qujing,25.4833,103.7833,18.09,92,96,1.73,CN,1690398217
362,san pedro,14.35,121.0167,27.57,92,75,3.6,PH,1690398217
